id,FID,PORT,TYPE,name,RANK,TOTAL,FOREIGN_,EXPORTS,IMPORTS,DOMESTIC,Longitude,Latitude,Pop_CT,PCT_Pov,WF,IF_CEJ,PCT_TA,PCT_ACEW,PCT_TI,PCT_SV,IF_ETC,SL,PCT_CD,PCT_EB,PCT_HV,Railway_Length,Highway_Length,dock_count,lower_lat,upper_lat,lower_lon,upper_lon,Pop_C
1,49,4998,C,"Kivalina, AK",140,1348069,36043,36043,0,1312026,-164.52689,67.726766,4426,0.9,1,1,42.26190476,15.34090909,45.50898204,96.02272727,0,0,12.5,51.13636364,23.29545455,0,0,0,,,,,
2,72,4831,C,"Nikiski, AK",89,3542548,596933,596933,0,2945615,-151.3144,60.74793,5563,0.6,0,0,80.35714286,55.68181818,90.41916168,74.43181818,1,0,81.25,30.11363636,51.70454545,0,29.95284415,0,,,,,
3,88,4820,C,"Port of Alaska, AK",93,3035539,1187099,1186334,765,1848440,-149.895,61.23778,2040,0.67,0,0,22.02380952,56.81818182,16.16766467,80.68181818,0,0,34.09090909,100,46.02272727,68.7539474,29.16739881,0,,,,,
4,143,4816,C,"Valdez, AK",26,25057656,276314,284,276030,24781342,-146.3464,61.12473,4231,0.33,0,0,72.61904762,42.61363636,78.44311377,53.40909091,0,0,33.52272727,27.84090909,17.61363636,0,8.722133766,0,,,,,
5,142,4939,C,"Unalaska Island, AK",144,1203121,870349,313549,556800,332772,-166.549916,53.894185,10311,0.21,0,0,43.45238095,12.5,52.69461078,98.29545455,0,0,11.36363636,11.93181818,43.18181818,0.361206902,14.14940395,0,,,,,
6,24,4709,C,"Grays Harbor Port District, WA",128,1797424,1716162,286669,1429493,81262,-124.176146,46.904156,6196,0.68,0,0,99.15775014,2.474835209,97.15514748,59.63940131,0,0.015598883,14.42326025,15.67463864,2.897222949,0,0,2,46.86499092,46.94121346,-124.1972746,-124.0690821,75634
7,100,4622,C,"Port of Longview, WA",45,10186514,9635004,598938,9036066,551510,-122.914,46.14222,5993,0.9,1,1,66.32326007,12.45508412,67.03296703,75.84727585,1,0,50.01906578,98.36866502,15.55219761,62.02529602,68.73835875,0,46.11665659,46.16654771,-122.924488,-122.9026607,110728
8,98,4626,C,"Port of Kalama, WA",36,15901510,14371120,260938,14110182,1530390,-122.86686,46.026596,3903,0.28,0,0,86.01190476,16.7598696,85.22146713,39.95543162,0,0,15.66015253,54.64078457,18.83730338,68.23717254,38.09033652,2,46.01752397,46.03597329,-122.8748568,-122.8587461,110728
9,91,4629,I,"Port of Columbia County, OR",87,3729322,389838,389838,0,3339484,-122.798693,45.847484,4276,0.21,0,0,63.15187006,40.34338339,58.77192982,52.5322942,0,0,40.50524309,55.38197548,35.60550175,20.08703576,14.26346875,1,45.83627889,45.87317753,-122.8061265,-122.791575,52593
10,109,4636,C,"Port of Vancouver USA, WA",47,9574101,7678672,1047933,6630739,1895429,-122.6806,45.62244,2106,0.9,1,1,35.89502603,24.05111487,33.48395026,82.7708661,1,0,70.65300286,95.41105113,21.57746948,155.3070165,74.4512918,28,45.58896705,45.65652794,-122.7538968,-122.6078613,503306
