SID,PORT_ID,port,start_date,end_date,total_impact,max_impact,day_of_recover,CCD,BCD,ECD,max_impact_date,start_recovery_date (Slope),end_recovery_date,total_impact_value,C_normal,C_cyclone,B_normal,B_cyclone,E_normal,E_cyclone,Wind_speed,Surge_height,Rainfall,Seaport,Pop_C,Pop_CT,PCT_Pov,WF,IF_CEJ,PCT_TA,PCT_ACEW,PCT_TI,PCT_SV,IF_ETC,SL,PCT_CD,PCT_EB,PCT_HV,Railway_Length,Highway_Length,Dock_Couunt
2017228N14314,35,"Port Arthur, TX",8/25/2017,8/31/2017,9.46846269,1,11,0.152866228,0.001683326,0.106012725,8/31/2017,9/10/2017 0:00,9/11/2017 0:00,67.10073742,0.152866228,0,0.001683326,0,0.106012725,4.88E-39,13.6,0.895,422.3061,1,256521,2279,0.36,0,0,93.48611914,46.72203317,97.5913341,37.92125459,0,7.013639755,24.40896092,19.14345976,20.15562906,47.91782569,26.92577563,31
2017228N14314,29,"Calhoun Port Authority, TX",8/24/2017,8/30/2017,10,1,10,0.055895512,0.000210213,0.051228937,8/24/2017,9/2/2017 0:00,9/3/2017 0:00,20.62321774,0.167502655,0.111607143,0.000210213,0,0.114817224,0.063588288,27.2,2.062,26.94,1,20105,4605,0.78,0,1,29.7462406,98.19384623,27.78340081,79.19467086,1,0.148552897,61.81124881,51.40552199,89.08454894,0,12.86644873,21
2017228N14314,36,"Orange County Nav District, TX",8/25/2017,8/31/2017,9,1,9,0.130580888,0.000642663,0.044029616,8/31/2017,9/8/2017 0:00,9/9/2017 0:00,20.32270213,0.130580888,0,0.000642663,0,0.044029616,4.88E-39,13.6,0.914,66.3008,1,84810,3283,0.75,0,0,65.3340081,44.87661519,72.45638134,72.88717289,1,1.409428011,47.78717827,78.26713855,48.00466411,24.80922205,22.5410433,8
2022266N12294,128,"Canaveral Port District, FL",9/28/2022,9/30/2022,6.26711815,1,8,0,0.001714053,0.009703621,9/29/2022,10/6/2022 0:00,10/7/2022 0:00,18.2896612,0.182894087,0.18359412,0.004284672,0.002570619,0.063568719,0.053865098,17.1,0.851,8.5107,1,606621,2131,0,0,0,28.35333526,79.73966637,28.38948332,36.98579532,1,0.460419931,88.73331745,72.29590438,68.83492373,0,35.98131128,22
2017228N14314,34,"Beaumont, TX",8/25/2017,8/31/2017,8.387821539,0.931673992,8,0.052959808,0.006345108,0.136802718,9/1/2017,9/4/2017 0:00,9/9/2017 0:00,122.3028554,0.167743775,0.114783967,0.006345108,0,0.15650576,0.019703042,13.6,0.914,0.0508,1,256521,1617,0.86,1,1,23.45286293,98.88989363,39.33993638,97.0637304,1,0.401576661,98.83222116,98.51761818,97.52635462,177.0853231,56.40203353,13
2020299N18277,31,"Texas City, TX",10/28/2020,10/28/2020,3.41775836,0.552023907,6,0,0,0,10/29/2020,11/3/2020 0:00,11/4/2020 0:00,15.90571434,0.179881291,0.192004569,0.000744004,0.001311191,0.110361395,0.125688429,9.4,0.394,1.4905,1,350684,2699,0.69,0,1,61.64449586,62.80132308,69.7127434,79.85485485,1,3.331735398,68.17683508,95.64580131,43.92118602,82.90400884,26.89038024,34
2017228N14314,31,"Texas City, TX",8/24/2017,8/31/2017,5.785864438,1,6,0.043221757,0.000342493,0.102353791,8/26/2017,8/29/2017 0:00,9/1/2017 0:00,39.66325186,0.158945027,0.11572327,0.000342493,0,0.144799384,0.042445593,19.7,0.84,193.1033,1,350684,2699,0.69,0,1,61.64449586,62.80132308,69.7127434,79.85485485,1,3.331735398,68.17683508,95.64580131,43.92118602,82.90400884,26.89038024,34
2017260N12310,141,"San Juan, PR",9/19/2017,9/21/2017,7.705578891,1,6,0.124602296,0.009455567,0.02482183,9/23/2017,9/28/2017 0:00,9/29/2017 0:00,53.96447709,0.124602296,0,0.009455567,0,0.02482183,2.79E-36,21.5,0.713,12.3705,1,82872,3021,0,0,0,67.72821477,78.18337577,99.16377482,41.95981696,1,5.253558,60.17755005,15.54355986,82.82964091,0,102.4065089,7
2021239N17281,41,"South Louisiana, LA, Port of",8/28/2021,8/31/2021,8.029598561,1,6,0.077497957,0.012095484,0.21824362,9/3/2021,9/3/2021 0:00,9/9/2021 0:00,250.2091952,0.217542416,0.140044459,0.012095484,0,0.246478993,0.028235373,22.4,1.674,17,1,42481,1966,0.56,1,1,75.0409678,52.08100326,78.89314633,54.5974546,1,3.812527511,25.37059104,65.65140195,42.92054351,64.86154799,26.78614458,21
2021252N28273,41,"South Louisiana, LA, Port of",9/8/2021,9/8/2021,8.067789743,1,6,0.077497957,0.012095484,0.21824362,9/3/2021,9/3/2021 0:00,9/9/2021 0:00,255.1747613,0.217542416,0.140044459,0.012095484,0,0.246478993,0.028235373,4.6,-0.138,0,1,42481,1966,0.56,1,1,75.0409678,52.08100326,78.89314633,54.5974546,1,3.812527511,25.37059104,65.65140195,42.92054351,64.86154799,26.78614458,21
